Spieler,Verein,Liga,Liga (voll),Alter,Altersband,Fuß,Größe (cm),Minuten,PSV-99,Top-5 PSV-99,Speed Flag,Speed Score,Δ PSV-99,HSR P60BIP,Sprint P60BIP,HI-Dist P60BIP,Expl.Acc BIP,BIP Score,BIP Level,Δ HSR BIP,HSR OTIP P30,Sprint OTIP P30,HI-Dist OTIP P30,Expl.Acc OTIP,OTIP Score,OTIP Pass,Δ HSR OTIP,Time→HSR (s),Time→HSR CoD (s),Time→Sprint (s),Time→505° (s),Burst Score,Δ T→HSR,Physical Score,IFI Raw,IFI Percentile,IFI Label,IFI Punkte,Box Threat,Dribbling,Finishing,Involvement,Passing Quality,Pressing,Providing Teammates,Run Quality,Pct_Box Threat,Pct_Dribbling,Pct_Finishing,Pct_Involvement,Pct_Passing Quality,Pct_Pressing,Pct_Providing Teammates,Pct_Run Quality,Lbl_Box Threat,Lbl_Dribbling,Lbl_Finishing,Lbl_Involvement,Lbl_Passing Quality,Lbl_Pressing,Lbl_Providing Teammates,Lbl_Run Quality,Final Total,Final Tier,Spielertyp,Transfer Score,Transferwert (€)
Danijel Šturm,Sigma Olomouc,CZE 1,CZE - First League,27,24+,Right,182.0,685,30.3,30.68,🟠 MEDIUM,1,0.85,960.88,458.29,1419.17,3.43,4,🔼 HIGH,171.3,461.38,158.79,620.17,1.36,4,✅ YES,74.5,0.65,0.69,1.21,1.81,4,-0.01,14.0,0.586,0.867,STRONG,4,0.4657988204891455,1.226920981156836,1.8696734834549509,-0.2515413041208649,0.0354039961076114,-0.4123846953598295,0.8115871225949502,0.9396206954324016,0.703,0.894,0.946,0.404,0.529,0.315,0.818,0.823,AVERAGE,STRONG,ELITE,BELOW,AVERAGE,BELOW,STRONG,STRONG,18.0,🟢 TOP TARGET,Dribbler,0.355519970498652,300000.0
Musa Juwara,Pogoń Szczecin,POL 1,POL - Ekstraklasa,25,24+,Left,170.0,999,29.9,31.5,🟠 MEDIUM,1,0.45,853.32,395.25,1248.57,2.59,4,🔼 HIGH,63.7,436.26,172.31,608.57,0.61,4,✅ YES,49.3,0.64,0.66,1.23,1.9,4,-0.02,14.0,0.493,0.827,STRONG,4,0.0873213646532622,1.4261226699218017,-1.142952902292413,0.7610547649721736,1.151911076320508,0.3645079252253595,0.6867384855357769,0.6070239968371377,0.543,0.924,0.051,0.822,0.882,0.735,0.779,0.748,AVERAGE,ELITE,WEAK,STRONG,STRONG,AVERAGE,STRONG,AVERAGE,18.0,🟢 TOP TARGET,Dribbler,0.3874417209745242,850000.0
Kamil Manseri,Koper,SVN,SVN - 1. SNL,25,24+,Right,176.0,637,30.88,31.96,🟡 FAST,2,1.43,822.91,322.83,1145.74,1.99,4,🔼 HIGH,33.3,386.88,131.11,517.99,0.92,3,✅ YES,-0.0,0.67,0.7,1.44,2.08,1,0.01,13.0,0.927,0.962,ELITE,5,1.136500080112362,1.830615316690928,0.5982969635055926,0.4688818995521627,0.6695610738427158,-0.8215927456681131,0.8704737646853726,2.659888307439743,0.898,0.971,0.728,0.726,0.764,0.152,0.831,0.993,STRONG,ELITE,AVERAGE,AVERAGE,STRONG,WEAK,STRONG,ELITE,18.0,🟢 TOP TARGET,Komplettflügel,0.6842126923682973,
Vojtěch Hranoš,Prostějov,CZE 2,CZE - FNL,20,U21,Right,185.0,1087,30.76,32.46,🟡 FAST,2,1.31,919.17,429.74,1348.91,2.43,4,🔼 HIGH,129.6,429.48,141.6,571.09,0.82,4,✅ YES,42.6,0.57,0.69,1.28,1.87,4,-0.09,16.0,-0.182,0.318,BELOW,2,0.4819265781969545,0.1669879393841483,-0.4277734775866709,-0.2904062449365479,-0.950030157966073,-0.6561602034782689,-0.7990576934082089,1.0205234400047392,0.71,0.574,0.448,0.376,0.134,0.205,0.162,0.853,AVERAGE,AVERAGE,BELOW,BELOW,WEAK,WEAK,WEAK,STRONG,18.0,🟢 TOP TARGET,Tiefenläufer,-0.4821743476629982,450000.0
Matous Varacka,Táborsko,CZE 2,CZE - FNL,25,24+,,,614,31.23,32.12,🔵 HIGH,3,1.78,1083.23,465.17,1548.4,2.04,4,🔼 HIGH,293.6,496.0,147.79,643.79,0.37,3,✅ YES,109.1,0.62,0.63,1.24,1.96,3,-0.04,16.0,-0.143,0.351,BELOW,2,0.6353094608690332,-0.1979162855132526,-0.6767819975394805,-0.1172855670319424,-0.3868911563811965,0.1180315098749711,-0.756634231790262,0.2343348308818911,0.76,0.405,0.258,0.474,0.352,0.624,0.172,0.581,STRONG,BELOW,BELOW,BELOW,BELOW,AVERAGE,WEAK,AVERAGE,18.0,🟢 TOP TARGET,Keins dominant,-0.3006550224995581,225000.0
Dylann Kam,Trenčín,SVK,SVK - Niké Liga,22,U23,,,846,30.93,32.18,🟡 FAST,2,1.48,950.42,501.2,1451.62,4.24,4,🔼 HIGH,160.8,441.96,190.21,632.17,1.48,4,✅ YES,55.0,0.64,0.65,1.13,1.91,4,-0.02,16.0,-0.169,0.328,BELOW,2,-0.7552297869339974,0.4470183129008057,-1.225743155607529,0.7649885947591345,-0.4517834597215848,0.2250982556775216,-0.9162800995101698,0.5581483560797104,0.162,0.677,0.04,0.826,0.309,0.682,0.12,0.733,WEAK,AVERAGE,WEAK,STRONG,BELOW,AVERAGE,WEAK,AVERAGE,18.0,🟢 TOP TARGET,Keins dominant,-0.4605446631115393,
Amar Memić,Viktoria Plzeň,CZE 1,CZE - First League,25,24+,Right,176.0,511,31.27,31.5,🔵 HIGH,3,1.82,873.58,422.98,1296.56,1.77,4,🔼 HIGH,84.0,468.24,201.64,669.88,0.31,3,✅ YES,81.3,0.65,0.68,1.14,2.06,3,-0.01,16.0,-0.16,0.338,BELOW,2,-0.465307395440472,-0.2678642015812786,0.1542981505542878,-0.614744982353276,0.0300250806712854,-1.0078157083628758,0.7886600888705977,0.1046332666808633,0.26,0.374,0.593,0.234,0.526,0.087,0.811,0.53,BELOW,BELOW,AVERAGE,WEAK,AVERAGE,WEAK,STRONG,AVERAGE,18.0,🟢 TOP TARGET,Keins dominant,-0.33787134069032,500000.0
Krisztofer Horváth,Újpest,HUN,HUN - Nemzeti Bajnokság,24,24+,Right,185.0,1409,29.63,30.78,🟠 MEDIUM,1,0.18,918.31,402.56,1320.87,2.09,4,🔼 HIGH,128.7,491.18,237.79,728.97,0.62,4,✅ YES,104.3,0.69,0.73,1.3,1.85,2,0.03,13.0,0.749,0.915,ELITE,5,-0.2819675789254954,0.0554530824921843,1.464987770937095,1.90507655960962,1.1356914565989755,0.8588678867849074,0.897951432377581,-0.0459851964791878,0.348,0.514,0.909,0.971,0.878,0.869,0.844,0.477,BELOW,AVERAGE,ELITE,ELITE,STRONG,STRONG,STRONG,BELOW,18.0,🟢 TOP TARGET,Keins dominant,0.4539816200747676,1200000.0
Vojtěch Sychra,Pardubice,CZE 1,CZE - First League,25,24+,Right,177.0,735,30.93,32.1,🟡 FAST,2,1.48,849.46,427.65,1277.11,2.4,4,🔼 HIGH,59.9,398.87,141.33,540.19,0.49,4,✅ YES,12.0,0.62,0.62,1.21,1.89,4,-0.04,16.0,-0.059,0.42,BELOW,2,-0.2016377545017022,0.0752469443872836,-0.1506911040161997,-0.5543135523240983,0.0872130668730572,-0.2230875888994525,0.0099218882605751,0.4872332121963531,0.399,0.525,0.523,0.25,0.559,0.437,0.497,0.706,BELOW,AVERAGE,AVERAGE,BELOW,AVERAGE,BELOW,BELOW,AVERAGE,18.0,🟢 TOP TARGET,Keins dominant,-0.1256620981394271,275000.0
Mateusz Stępień,Puszcza Niepołomice,POL 2,POL - I liga,24,24+,Right,184.0,319,31.1,31.88,🔵 HIGH,3,1.65,995.02,480.5,1475.52,2.07,4,🔼 HIGH,205.4,506.05,223.41,729.46,0.77,4,✅ YES,119.1,0.73,0.93,1.4,2.04,0,0.07,16.0,-0.164,0.333,BELOW,2,0.0009818230593271,-0.0099593222259305,-0.8735656991270072,-0.3754318309085753,-0.4099557534146995,0.4835803697457181,-0.6048922673960978,0.4752889886629388,0.488,0.472,0.118,0.33,0.341,0.78,0.23,0.701,BELOW,BELOW,WEAK,BELOW,BELOW,STRONG,WEAK,AVERAGE,18.0,🟢 TOP TARGET,Keins dominant,-0.3708447489693552,250000.0
